time,open,high,low,close,tick_volume,spread,real_volume,body_size,upper_wick,lower_wick,price_change,price_change_pct,candle_direction,range,body_to_range,hour,minute,day_of_week,session_asia,session_europe,session_us,hour_sin,hour_cos
2025-12-03 03:15:00,4215.8,4219.63,4214.07,4216.79,3772,33,0,0.9899999999997817,2.8400000000001455,1.730000000000473,1.019999999999527,0.00024194868315859902,1,5.5600000000004,0.17805755363653505,3,15,2,1.0,0.0,0.0,0.7071067811865476,0.7071067811865476
2025-12-03 03:30:00,4216.81,4218.82,4213.19,4217.13,4075,33,0,0.31999999999970896,1.6899999999995998,3.6200000000008004,0.3400000000001455,8.063005271786015e-05,1,5.630000000000109,0.05683836579597142,3,30,2,1.0,0.0,0.0,0.7071067811865476,0.7071067811865476
2025-12-03 03:45:00,4217.13,4219.7,4214.08,4214.32,3701,33,0,2.8100000000004,2.569999999999709,0.23999999999978172,-2.8100000000004,-0.0006663299447729617,-1,5.619999999999891,0.4999999991104012,3,45,2,1.0,0.0,0.0,0.7071067811865476,0.7071067811865476
2025-12-03 04:00:00,4214.34,4224.22,4214.18,4223.92,4594,33,0,9.579999999999927,0.3000000000001819,0.15999999999985448,9.600000000000364,0.002277947569240201,1,10.039999999999964,0.9541832659818853,4,0,2,1.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2025-12-03 04:15:00,4224.04,4224.36,4219.22,4223.07,2858,33,0,0.9700000000002547,0.31999999999970896,3.8499999999994543,-0.8500000000003638,-0.00020123487187265947,-1,5.139999999999418,0.18871595294031226,4,15,2,1.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2025-12-03 04:30:00,4223.09,4228.75,4222.42,4225.01,3026,33,0,1.9200000000000728,3.7399999999997817,0.6700000000000728,1.9400000000005093,0.00045938144525203454,1,6.329999999999927,0.30331753506586406,4,30,2,1.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2025-12-03 04:45:00,4224.95,4228.49,4224.13,4226.54,2740,33,0,1.5900000000001455,1.949999999999818,0.819999999999709,1.5299999999997453,0.0003621293204039151,1,4.359999999999673,0.3646788982462101,4,45,2,1.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2025-12-03 05:00:00,4226.54,4227.36,4220.45,4222.64,2377,33,0,3.899999999999636,0.819999999999709,2.1900000000005093,-3.899999999999636,-0.0009227405868629272,-1,6.9099999999998545,0.5643994203119717,5,0,2,1.0,0.0,0.0,0.9659258262890683,0.25881904510252074
2025-12-03 05:15:00,4222.43,4225.79,4221.3,4225.6,2716,33,0,3.1700000000000728,0.18999999999959982,1.1300000000001091,2.9600000000000364,0.0007009832711289706,1,4.489999999999782,0.7060133614565909,5,15,2,1.0,0.0,0.0,0.9659258262890683,0.25881904510252074
2025-12-03 05:30:00,4225.58,4226.04,4220.56,4222.6,2357,33,0,2.9799999999995634,0.4600000000000364,2.0399999999999636,-3.0,-0.0007099583491101854,-1,5.479999999999563,0.5437956194455921,5,30,2,1.0,0.0,0.0,0.9659258262890683,0.25881904510252074
2025-12-03 05:45:00,4222.61,4224.12,4220.09,4221.0,2265,33,0,1.6099999999996726,1.5100000000002183,0.9099999999998545,-1.6000000000003638,-0.0003789134656373712,-1,4.029999999999745,0.3995037210929869,5,45,2,1.0,0.0,0.0,0.9659258262890683,0.25881904510252074
2025-12-03 06:00:00,4221.02,4221.23,4217.18,4220.23,2043,33,0,0.7900000000008731,0.20999999999912689,3.0499999999992724,-0.7700000000004366,-0.00018242122719745003,-1,4.049999999999272,0.19506172791367846,6,0,2,1.0,0.0,0.0,1.0,6.123233995736766e-17
2025-12-03 06:15:00,4220.19,4224.18,4220.09,4222.67,1344,33,0,2.480000000000473,1.5100000000002183,0.0999999999994543,2.4400000000005093,0.0005781675406317925,1,4.0900000000001455,0.6063569667327177,6,15,2,1.0,0.0,0.0,1.0,6.123233995736766e-17
2025-12-03 06:30:00,4222.64,4225.09,4222.09,4223.9,1681,33,0,1.2599999999993088,1.1900000000005093,0.5500000000001819,1.2299999999995634,0.0002912848979436147,1,3.0,0.4199999985997696,6,30,2,1.0,0.0,0.0,1.0,6.123233995736766e-17
2025-12-03 06:45:00,4223.91,4223.95,4220.04,4222.23,2079,33,0,1.680000000000291,0.03999999999996362,2.1899999999996,-1.6700000000000728,-0.00039536920855135605,-1,3.9099999999998545,0.4296675180827822,6,45,2,1.0,0.0,0.0,1.0,6.123233995736766e-17
2025-12-03 07:00:00,4222.23,4223.88,4219.9,4220.77,2075,33,0,1.4599999999991269,1.6500000000005457,0.8700000000008004,-1.4599999999991269,-0.00034578883670456775,-1,3.980000000000473,0.3668341699323145,7,0,2,1.0,0.0,0.0,0.9659258262890683,-0.25881904510252063
2025-12-03 07:15:00,4220.77,4221.99,4218.86,4220.16,2229,33,0,0.6100000000005821,1.2199999999993452,1.300000000000182,-0.6100000000005821,-0.00014452339265124184,-1,3.130000000000109,0.19488817829127125,7,15,2,1.0,0.0,0.0,0.9659258262890683,-0.25881904510252063
